symbol	date	close
DGKC	12-Jun-18	85.48
DGKC	12-Jul-18	89.72
DGKC	12-Oct-18	89.78
DGKC	12-Nov-18	89.22
DGKC	12-Dec-18	87.66
DGKC	01-Jan-19	83.98
DGKC	01-Feb-19	82.67
DGKC	01-Mar-19	82.31
DGKC	01-Apr-19	82.2
DGKC	01-Jul-19	85.15
DGKC	01-Aug-19	86.61
DGKC	01-Sep-19	85.73
DGKC	01-Oct-19	84.81
DGKC	01-Nov-19	83.89
DGKC	02-Jan-19	87.2
DGKC	02-Apr-19	91.56
DGKC	02-Jun-19	93.68
DGKC	02-Jul-19	92.44
DGKC	02-Aug-19	92.94
DGKC	02-Nov-19	91.57
DGKC	02-Dec-19	96.1
DGKC	03-Jan-19	92.39
DGKC	03-Apr-19	91.77
DGKC	03-May-19	91.1
DGKC	03-Jun-19	91.48
DGKC	03-Jul-19	90.95
DGKC	03-Aug-19	89.67
DGKC	03-Nov-19	90
DGKC	03-Dec-19	91.39
DGKC	04-Jan-19	83.89
DGKC	04-Feb-19	83.25
DGKC	04-Mar-19	84.56
DGKC	04-Apr-19	83.03
DGKC	04-May-19	83.03
DGKC	04-Aug-19	78.88
DGKC	04-Sep-19	78.51
DGKC	04-Oct-19	74.59
DGKC	04-Nov-19	71.79
DGKC	04-Dec-19	75.37
